identifier,smiles
CNP0243746.14,CC[C@H]1[C@H]2C[C@H]3[C@@H]4N(C)C5=CC=CC=C5[C@]45C[C@@H]([C@H]2[C@H]5O)N3[C@@H]1O
CNP0243746.18,CC[C@@H]1[C@H]2C[C@H]3[C@@H]4N(C)C5=CC=CC=C5[C@]45C[C@@H](C2[C@H]5O)N3[C@H]1O
CNP0243746.2,CC[C@@H]1[C@@H](O)N2[C@@H]3C[C@H]1C1[C@@H](O)[C@]4(C[C@@H]12)C1=CC=CC=C1N(C)[C@H]34
CNP0243746.20,CC[C@H]1[C@H]2C[C@H]3[C@@H]4N(C)C5=CC=CC=C5[C@]45C[C@@H]([C@@H]2[C@@H]5O)N3[C@@H]1O
CNP0243746.21,CC[C@H]1[C@H]2C[C@H]3[C@@H]4N(C)C5=CC=CC=C5[C@]45C[C@@H]([C@H]2[C@H]5O)N3[C@H]1O
CNP0243746.22,CC[C@H]1[C@H]2C[C@H]3[C@@H]4N(C)C5=CC=CC=C5[C@]45C[C@@H]([C@@H]2[C@H]5O)N3[C@@H]1O
CNP0243746.24,CC[C@H]1[C@H]2C[C@@H]3[C@H]4N(C)C5=CC=CC=C5[C@]45C[C@@H]([C@@H]2[C@@H]5O)N3[C@@H]1O
CNP0243746.29,CC[C@@H]1[C@H]2C[C@H]3[C@@H]4N(C)C5=CC=CC=C5[C@@]45C[C@@H]([C@@H]2[C@H]5O)N3[C@H]1O
CNP0243746.30,CC[C@@H]1[C@H]2C[C@H]3[C@@H]4N(C)C5=CC=CC=C5[C@@]45C[C@@H]([C@@H]2[C@@H]5O)N3[C@@H]1O
CNP0243746.31,CC[C@H]1C2C[C@H]3[C@@H]4N(C)C5=CC=CC=C5C45C[C@H](C2[C@H]5O)N3[C@@H]1O
CNP0243746.34,CC[C@H]1[C@H]2C[C@H]3[C@@H]4N(C)C5=CC=CC=C5[C@]45C[C@@H]([C@@H]2[C@H]5O)N3[C@H]1O
CNP0243746.35,CC[C@@H]1[C@H]2C[C@H]3[C@@H]4N(C)C5=CC=CC=C5[C@@]45C[C@@H]([C@H]2[C@H]5O)N3[C@@H]1O
CNP0243746.36,CC[C@@H]1[C@H]2C[C@@H]3[C@H]4N(C)C5=CC=CC=C5[C@@]45C[C@@H]([C@H]2[C@H]5O)N3[C@@H]1O
CNP0439177.1,CC1=NC(C2=CC=CS2)=CC([C@@H]2C[N@@]3CC[C@H]2C[C@@H]3CNC(=O)CC2(CC(=O)O)CCCC2)=N1
